J_Nombre,nombre,fecha_de_adquisicion,descripcion
thoward0,Logro_0_Republican,2024-01-27,Hand successful item top fear structure.
thoward0,Logro_1_identify,2024-11-13,Probably economy after sport market when step.
thoward0,Logro_2_college,2024-09-06,Environmental investment official out table fight understand.
pattersongina1,Logro_0_describe,2024-10-06,Throw bad perform attorney somebody school.
pattersongina1,Logro_1_various,2024-07-29,Beautiful heavy your.
pattersongina1,Logro_2_coach,2024-01-07,Bit if which building usually.
oramirez2,Logro_0_people,2024-09-11,Lose high some contain position seem.
oramirez2,Logro_1_behavior,2024-03-15,Cut debate language artist attorney fill return college.
oramirez2,Logro_2_reflect,2024-09-06,By word close including could.
jessicaanderson3,Logro_0_fly,2024-08-03,Rather offer town for of open.
jessicaanderson3,Logro_1_reason,2024-08-12,President just soldier today former court prevent.
jessicaanderson3,Logro_2_and,2024-08-06,Go fall number.
brent294,Logro_0_site,2024-09-07,Leader list similar finally college.
brent294,Logro_1_piece,2024-05-25,Law painting understand ago.
brent294,Logro_2_owner,2024-01-17,Service use single knowledge page day.
lsanders5,Logro_0_believe,2024-01-27,Budget learn message establish outside.
lsanders5,Logro_1_science,2024-11-16,Writer yes author great worker material foot.
lsanders5,Logro_2_certain,2024-04-26,I former little reach bed people.
rogersjoshua6,Logro_0_charge,2024-04-26,Customer face open power early term.
rogersjoshua6,Logro_1_itself,2024-10-01,Land relate public people miss.
rogersjoshua6,Logro_2_particularly,2024-06-24,Season campaign small stage necessary.
jennifer907,Logro_0_hope,2024-03-17,Smile general only know from almost.
jennifer907,Logro_1_last,2024-05-14,Place respond back town form.
jennifer907,Logro_2_raise,2024-05-20,Factor consider standard early strong.
gthompson8,Logro_0_child,2024-06-24,Long seven keep television foreign teacher.
gthompson8,Logro_1_beyond,2024-09-12,Attorney either shake story.
gthompson8,Logro_2_girl,2024-09-26,Threat war child fear.
williamsryan9,Logro_0_for,2024-01-09,West see but air different wind song.
williamsryan9,Logro_1_work,2024-01-22,Stuff continue government.
williamsryan9,Logro_2_sport,2024-10-22,Last student visit wait too.
moorechristopher10,Logro_0_example,2024-09-25,Eight organization teach close interesting sister.
moorechristopher10,Logro_1_material,2024-05-02,Care community play group major.
moorechristopher10,Logro_2_sign,2024-10-26,Window prove debate near response plan.
katrinaadams11,Logro_0_music,2023-12-30,Future our thank conference compare laugh.
katrinaadams11,Logro_1_look,2024-07-14,Eat focus lot stay season step stop.
katrinaadams11,Logro_2_fill,2024-06-01,Whom participant mission man.
guerrerosteven12,Logro_0_son,2024-04-07,Second exactly president apply unit how big.
guerrerosteven12,Logro_1_join,2024-03-18,Leave above with reason and for tell.
guerrerosteven12,Logro_2_food,2024-02-18,Thought media tough best trial.
daniel6313,Logro_0_until,2024-04-15,Learn and magazine inside.
daniel6313,Logro_1_skin,2023-12-20,Free catch seem.
daniel6313,Logro_2_arm,2024-11-20,Even treat summer group.
gtaylor14,Logro_0_parent,2024-06-28,Position similar leave large pattern.
gtaylor14,Logro_1_other,2024-06-23,Occur few any series arrive police throw remain.
gtaylor14,Logro_2_meet,2024-04-06,Perform whole lot idea.
lharris15,Logro_0_none,2024-02-14,Fish hair bad national finally.
lharris15,Logro_1_whether,2023-12-21,Country image strategy nice professor television last hotel.
lharris15,Logro_2_sister,2024-04-25,Radio billion picture because beat believe.
vjensen16,Logro_0_between,2024-04-29,Mind reason future key increase property campaign job.
vjensen16,Logro_1_generation,2024-06-09,Ever throw treatment father director win.
vjensen16,Logro_2_hit,2024-05-29,Participant off north nor building raise.
mullinswyatt17,Logro_0_necessary,2024-06-03,Address oil develop cover.
mullinswyatt17,Logro_1_option,2024-08-20,Join cultural ability election buy.
mullinswyatt17,Logro_2_beautiful,2024-01-26,Air set reduce safe.
burnetteric18,Logro_0_dark,2023-11-29,Question board boy take return at exactly.
burnetteric18,Logro_1_response,2024-10-31,What student moment rate feel state agree.
burnetteric18,Logro_2_approach,2024-10-24,Interview leg however president beat save view.
cody7919,Logro_0_ever,2024-08-14,Energy growth result.
cody7919,Logro_1_democratic,2024-02-22,Fall son future simple thus.
cody7919,Logro_2_new,2024-07-21,Begin explain gas discussion office purpose watch.
thoover20,Logro_0_coach,2024-03-25,Go way until measure quickly event.
thoover20,Logro_1_increase,2024-02-10,Movement career international scientist how attorney.
thoover20,Logro_2_huge,2024-03-28,Report thought as daughter.
ncampbell21,Logro_0_like,2024-11-03,High that thousand major sign feel process.
ncampbell21,Logro_1_free,2024-05-26,Cause final use.
ncampbell21,Logro_2_just,2024-07-14,Environmental police cup bar impact building second.
steven6422,Logro_0_book,2024-05-21,Have pattern couple throw.
steven6422,Logro_1_open,2024-10-14,Recognize only loss hard trouble relate meeting.
steven6422,Logro_2_too,2024-05-05,Through risk radio economic on consumer.
ogates23,Logro_0_program,2023-12-20,Sit nor cause seek nor.
ogates23,Logro_1_tend,2023-12-10,Could for PM station put shake call action.
ogates23,Logro_2_source,2024-05-06,Before level different interview.
websterjessica24,Logro_0_finish,2024-09-24,Factor safe away seem second realize detail.
websterjessica24,Logro_1_toward,2024-10-18,Herself enjoy rise car medical rest involve.
websterjessica24,Logro_2_today,2023-12-25,Ground ever school result chair environment age.
edward4825,Logro_0_buy,2024-06-25,Husband cup course whose kid field.
edward4825,Logro_1_visit,2024-01-26,Economy scientist respond drive billion customer.
edward4825,Logro_2_growth,2024-10-01,Question PM under crime.
vincent3726,Logro_0_technology,2024-06-23,Receive next focus attorney degree action.
vincent3726,Logro_1_parent,2024-04-28,Option individual fish past.
vincent3726,Logro_2_meeting,2024-06-21,Plan design cover husband task nice.
kayla7827,Logro_0_to,2024-08-06,Value color stop.
kayla7827,Logro_1_magazine,2024-11-16,Great long wrong necessary computer inside.
kayla7827,Logro_2_among,2024-08-30,Prevent away wonder yet summer.
bobby6628,Logro_0_term,2024-02-15,Series book agree will set.
bobby6628,Logro_1_serious,2024-01-26,With available western room.
bobby6628,Logro_2_artist,2023-11-24,Himself feel thousand answer.
amymcdonald29,Logro_0_product,2024-07-31,Nice analysis church fire TV crime true.
amymcdonald29,Logro_1_small,2024-07-02,Several today environmental full deal today capital.
amymcdonald29,Logro_2_factor,2024-08-24,Believe truth nothing financial.
samantha6330,Logro_0_dinner,2024-03-08,Stage ability next among try tend also.
samantha6330,Logro_1_ever,2024-07-05,Manager appear success by big arrive.
samantha6330,Logro_2_air,2024-09-07,Risk lead although play serious car.
william7831,Logro_0_them,2024-02-18,Discussion suddenly choose thousand.
william7831,Logro_1_yet,2024-04-05,Rise news want.
william7831,Logro_2_gun,2023-11-25,Follow around that unit feeling account next.
nicholasjones32,Logro_0_cause,2024-08-18,Without here item under system must old.
nicholasjones32,Logro_1_use,2024-02-15,Expert since evidence join wait game recognize practice.
nicholasjones32,Logro_2_near,2024-03-06,Enough serve science type.
milesdiane33,Logro_0_knowledge,2024-02-23,Church create movie we since.
milesdiane33,Logro_1_operation,2024-07-01,Candidate until three budget.
milesdiane33,Logro_2_real,2024-05-10,Thousand respond probably can soon of wall.
ramirezchristine34,Logro_0_next,2024-06-11,Economic eye over past which what follow.
ramirezchristine34,Logro_1_town,2024-03-03,Industry management tough manager offer speech education development.
ramirezchristine34,Logro_2_mission,2024-01-23,Though they eight image population arrive yourself record.
garciabenjamin35,Logro_0_break,2024-04-11,Public mention ball young really pattern Mr.
garciabenjamin35,Logro_1_woman,2024-03-06,Low seek those play ball many.
garciabenjamin35,Logro_2_onto,2024-10-19,Top save focus six surface.
brian2336,Logro_0_help,2024-10-31,Bar election dream couple.
brian2336,Logro_1_newspaper,2023-12-14,Whose range daughter environmental fast exist computer.
brian2336,Logro_2_paper,2024-06-10,Best government expect social.
ericcochran37,Logro_0_responsibility,2023-12-07,As wide find make.
ericcochran37,Logro_1_per,2024-11-13,Just town act apply long century.
ericcochran37,Logro_2_service,2024-10-17,Character provide improve their lay.
kim1338,Logro_0_father,2024-08-23,Sing production player from however.
kim1338,Logro_1_let,2024-04-16,Minute purpose success employee within town.
kim1338,Logro_2_would,2024-06-27,Animal seem list feel affect movie claim agreement.
walter9839,Logro_0_response,2023-12-10,Radio be child outside business this.
walter9839,Logro_1_lose,2024-07-21,Election operation against.
walter9839,Logro_2_inside,2024-08-27,According school candidate building can court offer.
bwagner40,Logro_0_expect,2023-12-16,Eye information form once.
bwagner40,Logro_1_discuss,2024-11-15,Want several administration machine four most.
bwagner40,Logro_2_national,2024-01-17,Another behavior range expect.
halljames41,Logro_0_region,2024-08-02,Herself care campaign.
halljames41,Logro_1_identify,2024-04-17,To home PM leg because attention toward.
halljames41,Logro_2_herself,2024-07-09,Training fill treatment although people open participant site.
victoriaadams42,Logro_0_wife,2024-07-27,Development cell base capital any.
victoriaadams42,Logro_1_back,2024-01-10,Kitchen carry body another.
victoriaadams42,Logro_2_drive,2024-10-18,Heavy change focus there.
davidcollier43,Logro_0_behind,2024-08-08,However Republican country pattern show become including garden.
davidcollier43,Logro_1_current,2024-08-22,Each citizen well however computer field computer.
davidcollier43,Logro_2_little,2024-01-10,Soldier really meet wall join language glass.
john5644,Logro_0_town,2024-08-19,About civil born staff home control product.
john5644,Logro_1_indicate,2023-12-18,Last could mean your.
john5644,Logro_2_account,2024-08-04,Pattern image explain figure group radio.
reginaanderson45,Logro_0_particularly,2024-11-14,Agree drug write better wide.
reginaanderson45,Logro_1_treat,2024-05-27,Always message would floor.
reginaanderson45,Logro_2_wear,2024-03-24,Sea too sister environmental.
jaustin46,Logro_0_TV,2024-01-02,It site eat place push front thought when.
jaustin46,Logro_1_success,2024-06-30,Cup produce blue provide player.
jaustin46,Logro_2_discuss,2024-07-06,Often toward among computer early protect.
harriscarrie47,Logro_0_recent,2024-11-12,Interesting wife alone all attention bar sometimes.
harriscarrie47,Logro_1_door,2024-11-13,Others worker study allow hundred trouble.
harriscarrie47,Logro_2_money,2024-01-06,Than else baby air rest soldier.
joshua1448,Logro_0_information,2023-12-27,Final personal need experience production chance.
joshua1448,Logro_1_yet,2024-05-28,Wife form successful rule study mother.
joshua1448,Logro_2_strong,2024-11-07,Subject every teacher money believe.
christopher5349,Logro_0_list,2024-07-03,Number character evidence probably with reason art stuff.
christopher5349,Logro_1_computer,2024-06-09,Raise hit race.
christopher5349,Logro_2_hotel,2024-06-25,Prepare message find from hold data friend.
htapia50,Logro_0_economy,2024-07-02,Democrat memory wife large those call executive several.
htapia50,Logro_1_step,2024-03-29,Break able resource budget ahead.
htapia50,Logro_2_find,2023-11-28,Morning the factor most course.
ashley0651,Logro_0_third,2024-05-27,Appear yard music their you.
ashley0651,Logro_1_memory,2024-03-20,Serious section care method daughter fish.
ashley0651,Logro_2_onto,2023-12-04,Night small marriage suffer oil.
gabrielavillarreal52,Logro_0_young,2024-02-06,Age current player.
gabrielavillarreal52,Logro_1_late,2024-08-18,That say western soon fire.
