J_Nombre,R_J_Nombre,R_nombre,PC_numero
thoward0,thoward0,Ropa_0_someone,837
thoward0,thoward0,Ropa_1_three,858
pattersongina1,pattersongina1,Ropa_0_teacher,155
pattersongina1,pattersongina1,Ropa_2_organization,430
oramirez2,oramirez2,Ropa_1_dinner,408
oramirez2,oramirez2,Ropa_2_letter,939
jessicaanderson3,jessicaanderson3,Ropa_0_do,660
jessicaanderson3,jessicaanderson3,Ropa_1_benefit,508
jessicaanderson3,jessicaanderson3,Ropa_2_type,188
brent294,brent294,Ropa_1_firm,208
brent294,brent294,Ropa_2_thus,108
lsanders5,lsanders5,Ropa_2_break,186
rogersjoshua6,rogersjoshua6,Ropa_0_there,30
rogersjoshua6,rogersjoshua6,Ropa_1_old,646
rogersjoshua6,rogersjoshua6,Ropa_2_after,506
jennifer907,jennifer907,Ropa_0_agency,115
jennifer907,jennifer907,Ropa_2_still,858
gthompson8,gthompson8,Ropa_0_build,839
gthompson8,gthompson8,Ropa_2_fact,485
williamsryan9,williamsryan9,Ropa_0_skin,955
moorechristopher10,moorechristopher10,Ropa_0_firm,564
moorechristopher10,moorechristopher10,Ropa_2_bill,877
katrinaadams11,katrinaadams11,Ropa_0_school,402
katrinaadams11,katrinaadams11,Ropa_1_manage,382
katrinaadams11,katrinaadams11,Ropa_2_happen,56
guerrerosteven12,guerrerosteven12,Ropa_0_member,622
guerrerosteven12,guerrerosteven12,Ropa_1_baby,171
guerrerosteven12,guerrerosteven12,Ropa_2_court,449
daniel6313,daniel6313,Ropa_0_toward,679
gtaylor14,gtaylor14,Ropa_0_power,862
gtaylor14,gtaylor14,Ropa_1_family,867
gtaylor14,gtaylor14,Ropa_2_available,289
lharris15,lharris15,Ropa_0_to,702
lharris15,lharris15,Ropa_1_economic,728
lharris15,lharris15,Ropa_2_break,659
vjensen16,vjensen16,Ropa_0_town,211
vjensen16,vjensen16,Ropa_2_admit,388
mullinswyatt17,mullinswyatt17,Ropa_0_everyone,690
mullinswyatt17,mullinswyatt17,Ropa_1_friend,895
mullinswyatt17,mullinswyatt17,Ropa_2_economy,224
burnetteric18,burnetteric18,Ropa_0_close,571
burnetteric18,burnetteric18,Ropa_1_because,241
burnetteric18,burnetteric18,Ropa_2_capital,746
cody7919,cody7919,Ropa_2_even,37
thoover20,thoover20,Ropa_0_must,171
thoover20,thoover20,Ropa_2_better,331
ncampbell21,ncampbell21,Ropa_0_statement,978
ncampbell21,ncampbell21,Ropa_1_probably,845
ncampbell21,ncampbell21,Ropa_2_another,177
steven6422,steven6422,Ropa_1_rule,171
ogates23,ogates23,Ropa_2_between,561
websterjessica24,websterjessica24,Ropa_0_leader,272
websterjessica24,websterjessica24,Ropa_1_act,442
websterjessica24,websterjessica24,Ropa_2_address,719
edward4825,edward4825,Ropa_1_support,558
vincent3726,vincent3726,Ropa_0_born,849
kayla7827,kayla7827,Ropa_2_notice,956
bobby6628,bobby6628,Ropa_0_door,992
bobby6628,bobby6628,Ropa_1_choose,573
bobby6628,bobby6628,Ropa_2_cut,383
amymcdonald29,amymcdonald29,Ropa_1_pressure,542
amymcdonald29,amymcdonald29,Ropa_2_article,503
samantha6330,samantha6330,Ropa_0_expect,816
samantha6330,samantha6330,Ropa_1_movement,466
samantha6330,samantha6330,Ropa_2_among,676
william7831,william7831,Ropa_0_his,253
william7831,william7831,Ropa_1_table,135
william7831,william7831,Ropa_2_later,266
nicholasjones32,nicholasjones32,Ropa_0_lose,802
nicholasjones32,nicholasjones32,Ropa_1_American,837
milesdiane33,milesdiane33,Ropa_1_ten,466
milesdiane33,milesdiane33,Ropa_2_where,195
ramirezchristine34,ramirezchristine34,Ropa_0_executive,666
ramirezchristine34,ramirezchristine34,Ropa_1_marriage,332
garciabenjamin35,garciabenjamin35,Ropa_0_air,820
garciabenjamin35,garciabenjamin35,Ropa_2_identify,855
brian2336,brian2336,Ropa_0_performance,108
brian2336,brian2336,Ropa_1_here,905
brian2336,brian2336,Ropa_2_specific,271
ericcochran37,ericcochran37,Ropa_0_here,343
ericcochran37,ericcochran37,Ropa_1_bag,709
ericcochran37,ericcochran37,Ropa_2_certain,846
kim1338,kim1338,Ropa_0_bed,828
kim1338,kim1338,Ropa_1_role,226
kim1338,kim1338,Ropa_2_Republican,324
walter9839,walter9839,Ropa_1_reach,784
walter9839,walter9839,Ropa_2_order,831
halljames41,halljames41,Ropa_0_off,853
halljames41,halljames41,Ropa_2_everybody,866
victoriaadams42,victoriaadams42,Ropa_0_add,542
victoriaadams42,victoriaadams42,Ropa_1_claim,148
davidcollier43,davidcollier43,Ropa_1_mother,970
davidcollier43,davidcollier43,Ropa_2_record,317
john5644,john5644,Ropa_0_point,113
john5644,john5644,Ropa_2_image,760
reginaanderson45,reginaanderson45,Ropa_0_image,843
reginaanderson45,reginaanderson45,Ropa_1_nice,587
jaustin46,jaustin46,Ropa_0_foot,568
jaustin46,jaustin46,Ropa_1_process,196
