J_Nombre,nombre,tipo
thoward0,Ropa_0_someone,Gorra
thoward0,Ropa_1_three,Camiseta
thoward0,Ropa_2_analysis,Zapatos
pattersongina1,Ropa_0_teacher,Gorra
pattersongina1,Ropa_1_maintain,Camiseta
pattersongina1,Ropa_2_organization,Camiseta
oramirez2,Ropa_0_theory,Gorra
oramirez2,Ropa_1_dinner,Zapatos
oramirez2,Ropa_2_letter,Gorra
jessicaanderson3,Ropa_0_do,Pantalón
jessicaanderson3,Ropa_1_benefit,Zapatos
jessicaanderson3,Ropa_2_type,Zapatos
brent294,Ropa_0_loss,Camiseta
brent294,Ropa_1_firm,Gorra
brent294,Ropa_2_thus,Pantalón
lsanders5,Ropa_0_summer,Camiseta
lsanders5,Ropa_1_wrong,Camiseta
lsanders5,Ropa_2_break,Pantalón
rogersjoshua6,Ropa_0_there,Pantalón
rogersjoshua6,Ropa_1_old,Pantalón
rogersjoshua6,Ropa_2_after,Camiseta
jennifer907,Ropa_0_agency,Camiseta
jennifer907,Ropa_1_fall,Pantalón
jennifer907,Ropa_2_still,Gorra
gthompson8,Ropa_0_build,Pantalón
gthompson8,Ropa_1_whole,Zapatos
gthompson8,Ropa_2_fact,Camiseta
williamsryan9,Ropa_0_skin,Camiseta
williamsryan9,Ropa_1_present,Zapatos
williamsryan9,Ropa_2_check,Gorra
moorechristopher10,Ropa_0_firm,Accesorios
moorechristopher10,Ropa_1_call,Camiseta
moorechristopher10,Ropa_2_bill,Gorra
katrinaadams11,Ropa_0_school,Pantalón
katrinaadams11,Ropa_1_manage,Accesorios
katrinaadams11,Ropa_2_happen,Accesorios
guerrerosteven12,Ropa_0_member,Zapatos
guerrerosteven12,Ropa_1_baby,Pantalón
guerrerosteven12,Ropa_2_court,Pantalón
daniel6313,Ropa_0_toward,Pantalón
daniel6313,Ropa_1_seven,Zapatos
daniel6313,Ropa_2_other,Pantalón
gtaylor14,Ropa_0_power,Zapatos
gtaylor14,Ropa_1_family,Gorra
gtaylor14,Ropa_2_available,Pantalón
lharris15,Ropa_0_to,Pantalón
lharris15,Ropa_1_economic,Pantalón
lharris15,Ropa_2_break,Accesorios
vjensen16,Ropa_0_town,Accesorios
vjensen16,Ropa_1_suggest,Zapatos
vjensen16,Ropa_2_admit,Gorra
mullinswyatt17,Ropa_0_everyone,Gorra
mullinswyatt17,Ropa_1_friend,Pantalón
mullinswyatt17,Ropa_2_economy,Zapatos
burnetteric18,Ropa_0_close,Camiseta
burnetteric18,Ropa_1_because,Gorra
burnetteric18,Ropa_2_capital,Camiseta
cody7919,Ropa_0_take,Zapatos
cody7919,Ropa_1_third,Gorra
cody7919,Ropa_2_even,Gorra
thoover20,Ropa_0_must,Pantalón
thoover20,Ropa_1_strong,Pantalón
thoover20,Ropa_2_better,Pantalón
ncampbell21,Ropa_0_statement,Gorra
ncampbell21,Ropa_1_probably,Zapatos
ncampbell21,Ropa_2_another,Gorra
steven6422,Ropa_0_difficult,Camiseta
steven6422,Ropa_1_rule,Zapatos
steven6422,Ropa_2_treatment,Gorra
ogates23,Ropa_0_former,Pantalón
ogates23,Ropa_1_us,Camiseta
ogates23,Ropa_2_between,Zapatos
websterjessica24,Ropa_0_leader,Accesorios
websterjessica24,Ropa_1_act,Accesorios
websterjessica24,Ropa_2_address,Zapatos
edward4825,Ropa_0_court,Gorra
edward4825,Ropa_1_support,Pantalón
edward4825,Ropa_2_wait,Zapatos
vincent3726,Ropa_0_born,Gorra
vincent3726,Ropa_1_ability,Pantalón
vincent3726,Ropa_2_exist,Gorra
kayla7827,Ropa_0_student,Accesorios
kayla7827,Ropa_1_training,Zapatos
kayla7827,Ropa_2_notice,Pantalón
bobby6628,Ropa_0_door,Gorra
bobby6628,Ropa_1_choose,Gorra
bobby6628,Ropa_2_cut,Gorra
amymcdonald29,Ropa_0_produce,Gorra
amymcdonald29,Ropa_1_pressure,Zapatos
amymcdonald29,Ropa_2_article,Gorra
samantha6330,Ropa_0_expect,Gorra
samantha6330,Ropa_1_movement,Zapatos
samantha6330,Ropa_2_among,Camiseta
william7831,Ropa_0_his,Camiseta
william7831,Ropa_1_table,Pantalón
william7831,Ropa_2_later,Zapatos
nicholasjones32,Ropa_0_lose,Zapatos
nicholasjones32,Ropa_1_American,Camiseta
nicholasjones32,Ropa_2_our,Zapatos
milesdiane33,Ropa_0_opportunity,Zapatos
milesdiane33,Ropa_1_ten,Zapatos
milesdiane33,Ropa_2_where,Zapatos
ramirezchristine34,Ropa_0_executive,Camiseta
ramirezchristine34,Ropa_1_marriage,Zapatos
ramirezchristine34,Ropa_2_since,Accesorios
garciabenjamin35,Ropa_0_air,Pantalón
garciabenjamin35,Ropa_1_service,Pantalón
garciabenjamin35,Ropa_2_identify,Camiseta
brian2336,Ropa_0_performance,Pantalón
brian2336,Ropa_1_here,Accesorios
brian2336,Ropa_2_specific,Accesorios
ericcochran37,Ropa_0_here,Zapatos
ericcochran37,Ropa_1_bag,Pantalón
ericcochran37,Ropa_2_certain,Pantalón
kim1338,Ropa_0_bed,Camiseta
kim1338,Ropa_1_role,Zapatos
kim1338,Ropa_2_Republican,Zapatos
walter9839,Ropa_0_age,Camiseta
walter9839,Ropa_1_reach,Accesorios
walter9839,Ropa_2_order,Accesorios
bwagner40,Ropa_0_no,Accesorios
bwagner40,Ropa_1_author,Camiseta
bwagner40,Ropa_2_enough,Gorra
halljames41,Ropa_0_off,Accesorios
halljames41,Ropa_1_war,Gorra
halljames41,Ropa_2_everybody,Camiseta
victoriaadams42,Ropa_0_add,Gorra
victoriaadams42,Ropa_1_claim,Pantalón
victoriaadams42,Ropa_2_health,Camiseta
davidcollier43,Ropa_0_within,Camiseta
davidcollier43,Ropa_1_mother,Accesorios
davidcollier43,Ropa_2_record,Camiseta
john5644,Ropa_0_point,Zapatos
john5644,Ropa_1_letter,Gorra
john5644,Ropa_2_image,Zapatos
reginaanderson45,Ropa_0_image,Accesorios
reginaanderson45,Ropa_1_nice,Accesorios
reginaanderson45,Ropa_2_pick,Zapatos
jaustin46,Ropa_0_foot,Zapatos
jaustin46,Ropa_1_process,Accesorios
jaustin46,Ropa_2_story,Gorra
harriscarrie47,Ropa_0_page,Gorra
harriscarrie47,Ropa_1_likely,Gorra
harriscarrie47,Ropa_2_can,Gorra
joshua1448,Ropa_0_hotel,Pantalón
joshua1448,Ropa_1_sure,Zapatos
joshua1448,Ropa_2_here,Pantalón
christopher5349,Ropa_0_policy,Camiseta
christopher5349,Ropa_1_yet,Pantalón
christopher5349,Ropa_2_plant,Pantalón
htapia50,Ropa_0_fast,Camiseta
htapia50,Ropa_1_science,Camiseta
htapia50,Ropa_2_card,Zapatos
ashley0651,Ropa_0_minute,Zapatos
ashley0651,Ropa_1_moment,Accesorios
ashley0651,Ropa_2_identify,Zapatos
gabrielavillarreal52,Ropa_0_more,Gorra
gabrielavillarreal52,Ropa_1_director,Zapatos
gabrielavillarreal52,Ropa_2_without,Pantalón
smithjuan53,Ropa_0_authority,Gorra
smithjuan53,Ropa_1_pay,Camiseta
smithjuan53,Ropa_2_Congress,Zapatos
stephanieflores54,Ropa_0_specific,Zapatos
stephanieflores54,Ropa_1_bit,Zapatos
stephanieflores54,Ropa_2_create,Gorra
virginia7655,Ropa_0_in,Zapatos
virginia7655,Ropa_1_these,Zapatos
virginia7655,Ropa_2_these,Pantalón
kpratt56,Ropa_0_our,Zapatos
kpratt56,Ropa_1_minute,Accesorios
kpratt56,Ropa_2_nearly,Accesorios
nancy7857,Ropa_0_politics,Pantalón
nancy7857,Ropa_1_Congress,Zapatos
nancy7857,Ropa_2_realize,Accesorios
tammiebuck58,Ropa_0_baby,Gorra
tammiebuck58,Ropa_1_affect,Gorra
tammiebuck58,Ropa_2_food,Gorra
gkrause59,Ropa_0_actually,Zapatos
gkrause59,Ropa_1_total,Accesorios
gkrause59,Ropa_2_them,Zapatos
willie4660,Ropa_0_similar,Camiseta
willie4660,Ropa_1_defense,Accesorios
willie4660,Ropa_2_body,Camiseta
ebony8261,Ropa_0_marriage,Accesorios
ebony8261,Ropa_1_assume,Pantalón
ebony8261,Ropa_2_around,Zapatos
ddiaz62,Ropa_0_together,Accesorios
ddiaz62,Ropa_1_outside,Zapatos
ddiaz62,Ropa_2_north,Accesorios
april9363,Ropa_0_huge,Zapatos
april9363,Ropa_1_soldier,Camiseta
april9363,Ropa_2_strong,Accesorios
brian8464,Ropa_0_newspaper,Camiseta
brian8464,Ropa_1_name,Zapatos
brian8464,Ropa_2_guy,Pantalón
ytaylor65,Ropa_0_western,Accesorios
ytaylor65,Ropa_1_gun,Zapatos
ytaylor65,Ropa_2_weight,Gorra
gsummers66,Ropa_0_my,Gorra
gsummers66,Ropa_1_test,Gorra
gsummers66,Ropa_2_magazine,Gorra
uarroyo67,Ropa_0_individual,Zapatos
uarroyo67,Ropa_1_however,Pantalón
uarroyo67,Ropa_2_protect,Pantalón
xkennedy68,Ropa_0_energy,Pantalón
xkennedy68,Ropa_1_plant,Camiseta
xkennedy68,Ropa_2_ago,Zapatos
pgiles69,Ropa_0_know,Gorra
pgiles69,Ropa_1_able,Zapatos
pgiles69,Ropa_2_team,Gorra
oliverrachael70,Ropa_0_military,Zapatos
oliverrachael70,Ropa_1_anything,Accesorios
oliverrachael70,Ropa_2_mission,Camiseta
hamiltonjoel71,Ropa_0_scientist,Camiseta
hamiltonjoel71,Ropa_1_nation,Pantalón
hamiltonjoel71,Ropa_2_me,Pantalón
connieswanson72,Ropa_0_dark,Accesorios
connieswanson72,Ropa_1_street,Accesorios
connieswanson72,Ropa_2_develop,Zapatos
rogersstephanie73,Ropa_0_practice,Zapatos
rogersstephanie73,Ropa_1_among,Gorra
rogersstephanie73,Ropa_2_give,Zapatos
evelynwhitney74,Ropa_0_make,Accesorios
evelynwhitney74,Ropa_1_with,Camiseta
evelynwhitney74,Ropa_2_need,Gorra
harristaylor75,Ropa_0_six,Accesorios
harristaylor75,Ropa_1_must,Camiseta
harristaylor75,Ropa_2_share,Accesorios
melissaperez76,Ropa_0_center,Camiseta
melissaperez76,Ropa_1_wish,Pantalón
melissaperez76,Ropa_2_avoid,Accesorios
cprice77,Ropa_0_Democrat,Gorra
cprice77,Ropa_1_by,Accesorios
cprice77,Ropa_2_let,Zapatos
ginamckenzie78,Ropa_0_may,Zapatos
ginamckenzie78,Ropa_1_ever,Camiseta
ginamckenzie78,Ropa_2_federal,Pantalón
coxbradley79,Ropa_0_people,Gorra
coxbradley79,Ropa_1_compare,Pantalón
coxbradley79,Ropa_2_main,Gorra
pamela5580,Ropa_0_plant,Pantalón
pamela5580,Ropa_1_site,Pantalón
pamela5580,Ropa_2_most,Gorra
johnsonwilliam81,Ropa_0_front,Zapatos
johnsonwilliam81,Ropa_1_it,Pantalón
johnsonwilliam81,Ropa_2_gas,Gorra
shawn7182,Ropa_0_stuff,Pantalón
shawn7182,Ropa_1_relate,Camiseta
shawn7182,Ropa_2_upon,Zapatos
ismith83,Ropa_0_chair,Gorra
ismith83,Ropa_1_energy,Gorra
ismith83,Ropa_2_structure,Zapatos
robert9484,Ropa_0_no,Zapatos
robert9484,Ropa_1_consumer,Zapatos
robert9484,Ropa_2_day,Pantalón
jordan7685,Ropa_0_win,Zapatos
jordan7685,Ropa_1_Democrat,Pantalón
jordan7685,Ropa_2_lot,Accesorios
belldonald86,Ropa_0_state,Accesorios
belldonald86,Ropa_1_cultural,Pantalón
belldonald86,Ropa_2_number,Camiseta
cindygreen87,Ropa_0_sort,Accesorios
cindygreen87,Ropa_1_without,Pantalón
cindygreen87,Ropa_2_find,Gorra
gwebb88,Ropa_0_brother,Gorra
gwebb88,Ropa_1_share,Pantalón
gwebb88,Ropa_2_have,Accesorios
dcantrell89,Ropa_0_again,Camiseta
dcantrell89,Ropa_1_throw,Zapatos
dcantrell89,Ropa_2_benefit,Camiseta
helliott90,Ropa_0_glass,Accesorios
helliott90,Ropa_1_source,Gorra
helliott90,Ropa_2_wish,Gorra
amanda9091,Ropa_0_boy,Camiseta
amanda9091,Ropa_1_fire,Accesorios
amanda9091,Ropa_2_red,Accesorios
jessicaburton92,Ropa_0_goal,Gorra
jessicaburton92,Ropa_1_sometimes,Gorra
jessicaburton92,Ropa_2_until,Gorra
inolan93,Ropa_0_rest,Accesorios
inolan93,Ropa_1_Mrs,Camiseta
inolan93,Ropa_2_we,Pantalón
barnesronald94,Ropa_0_coach,Gorra
barnesronald94,Ropa_1_main,Camiseta
barnesronald94,Ropa_2_project,Pantalón
nataliereyes95,Ropa_0_threat,Camiseta
nataliereyes95,Ropa_1_poor,Gorra
nataliereyes95,Ropa_2_industry,Zapatos
gluna96,Ropa_0_parent,Pantalón
gluna96,Ropa_1_four,Camiseta
gluna96,Ropa_2_law,Gorra
tcole97,Ropa_0_of,Zapatos
tcole97,Ropa_1_rich,Zapatos
tcole97,Ropa_2_deep,Gorra
robertallen98,Ropa_0_tell,Zapatos
robertallen98,Ropa_1_we,Zapatos
robertallen98,Ropa_2_term,Pantalón
